ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,subregion,county_fips,region_name,region_code,numerator,denominator,ratex1000,LL_95CI,UL_95CI,se,rse,CA_decile,RR_city2state,version,,lat,long
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6037,Los Angeles,los angeles,6037,Southern California,14,65044,10024953,6.49,6.44,6.54,0.03,0.39,,1.22,14APR13:11:23:30,,34.0522,-118.2437
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6039,Madera,madera,6039,San Joaquin Valley,10,777,144074,5.39,5.01,5.77,0.19,3.59,,1.01,14APR13:11:23:30,,36.9613,-120.0607
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6041,Marin,marin,6041,Bay Area,1,639,249184,2.56,2.37,2.76,0.1,3.96,,0.48,14APR13:11:23:30,,38.0834,-122.7633
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6043,Mariposa,mariposa,6043,Central/Southeast Sierra,3,49,18232,2.69,1.94,3.44,0.38,14.29,,0.5,14APR13:11:23:30,,37.4849,-119.9663
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6045,Mendocino,mendocino,6045,North Coast,5,479,88955,5.38,4.9,5.87,0.25,4.57,,1.01,14APR13:11:23:30,,39.3077,-123.7995
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6047,Merced,merced,6047,San Joaquin Valley,10,1616,243883,6.63,6.3,6.95,0.16,2.49,,1.24,14APR13:11:23:30,,37.3022,-120.483
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6049,Modoc,modoc,6049,Northeast Sierra,6,49,9610,5.1,3.67,6.53,0.73,14.29,,0.96,14APR13:11:23:30,,41.4565,-120.6294
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6051,Mono,mono,6051,Central/Southeast Sierra,3,40,12622,3.17,2.19,4.15,0.5,15.81,,0.6,14APR13:11:23:30,,37.9219,-118.9529
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6053,Monterey,monterey,6053,Monterey Bay,4,2014,415815,4.84,4.63,5.06,0.11,2.23,,0.91,14APR13:11:23:30,,36.6002,-121.8947
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6055,Napa,napa,6055,Bay Area,1,463,133960,3.46,3.14,3.77,0.16,4.65,,0.65,14APR13:11:23:30,,38.2975,-122.2869
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6057,Nevada,nevada,6057,Northeast Sierra,6,298,99280,3,2.66,3.34,0.17,5.79,,0.56,14APR13:11:23:30,,39.1347,121.171
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6059,Orange,orange,6059,Southern California,14,8358,3014982,2.77,2.71,2.83,0.03,1.09,,0.52,14APR13:11:23:30,,33.7879,-117.8531
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6061,Placer,placer,6061,Sacramento Area,8,815,319883,2.55,2.37,2.72,0.09,3.5,,0.48,14APR13:11:23:30,,39.0916,-120.8039
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6063,Plumas,plumas,6063,Northeast Sierra,6,36,21670,1.66,1.12,2.2,0.28,16.67,,0.31,14APR13:11:23:30,,39.9927,-120.8039
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6065,Riverside,riverside,6065,Southern California,14,9389,1963948,4.78,4.68,4.88,0.05,1.03,,0.9,14APR13:11:23:30,,33.9806,-117.3755
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6067,Sacramento,sacramento,6067,Sacramento Area,8,10848,1375761,7.89,7.74,8.03,0.08,0.96,,1.48,14APR13:11:23:30,,38.5816,-121.4944
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6069,San Benito,san benito,6069,Monterey Bay,4,168,56440,2.98,2.53,3.43,0.23,7.72,,0.56,14APR13:11:23:30,,36.5761,-120.9876
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6071,San Bernardino,san bernardino,6071,Southern California,14,9912,1981218,5,4.9,5.1,0.05,1,,0.94,14APR13:11:23:30,,34.1083,-117.2898
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6073,San Diego,san diego,6073,San Diego,9,13578,2959880,4.59,4.51,4.66,0.04,0.86,,0.86,14APR13:11:23:30,,32.7157,-117.1611
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6075,San Francisco,san francisco,6075,Bay Area,1,6605,746085,8.85,8.64,9.07,0.11,1.23,,1.66,14APR13:11:23:30,,37.7749,-122.4194
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6077,San Joaquin,san joaquin,6077,San Joaquin Valley,10,6079,670097,9.07,8.84,9.3,0.12,1.28,,1.7,14APR13:11:23:30,,36.6066,-120.189
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6079,San Luis Obispo,san luis obispo,6079,San Luis Obispo,11,736,257779,2.86,2.65,3.06,0.11,3.69,,0.54,14APR13:11:23:30,,35.2828,-120.6596
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6081,San Mateo,san mateo,6081,Bay Area,1,2194,705911,3.11,2.98,3.24,0.07,2.13,,0.58,14APR13:11:23:30,,37.563,-122.3255
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6083,Santa Barbara,santa barbara,6083,Santa Barbara,12,1752,404371,4.33,4.13,4.54,0.1,2.39,,0.81,14APR13:11:23:30,,34.4208,-119.6982
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6085,Santa Clara,santa clara,6085,Bay Area,1,5439,1714353,3.17,3.09,3.26,0.04,1.36,,0.6,14APR13:11:23:30,,37.3541,-121.9552
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6087,Santa Cruz,santa cruz,6087,Monterey Bay,4,1083,251914,4.3,4.04,4.56,0.13,3.04,,0.81,14APR13:11:23:30,,36.9741,-122.0308
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6089,Shasta,shasta,6089,Shasta,13,648,181524,3.57,3.29,3.84,0.14,3.93,,0.67,14APR13:11:23:30,,40.5981,-122.4908
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6091,Sierra,sierra,6091,Northeast Sierra,6,10,3465,2.89,1.1,4.67,0.91,31.62,,0.54,14APR13:11:23:30,,sis,120.2513
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6093,Siskiyou,siskiyou,6093,Northeast Sierra,6,153,45667,3.35,2.82,3.88,0.27,8.08,,0.63,14APR13:11:23:30,,41.7743,-122.577
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6095,Solano,solano,6095,Bay Area,1,2531,415300,6.09,5.86,6.33,0.12,1.99,,1.14,14APR13:11:23:30,,38.3105,-121.9018
752,Number of Violent Crimes per 1000 Population,2006,9,Total,PL,24750,Forbestown CDP,butte,6007,Butte,2,,,,,,,,,,14APR13:11:23:30,,39.746159-121.843834,
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6097,Sonoma,sonoma,6097,Bay Area,1,2163,470678,4.6,4.4,4.79,0.1,2.15,,0.86,14APR13:11:23:30,,38.2919,-122.458
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6099,Stanislaus,stanislaus,6099,San Joaquin Valley,10,3056,510058,5.99,5.78,6.2,0.11,1.81,,1.13,14APR13:11:23:30,,37.5091,-120.9876
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6101,Sutter,sutter,6101,Sacramento Area,8,414,89676,4.62,4.17,5.06,0.23,4.91,,0.87,14APR13:11:23:30,,39.1599,-121.7527
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6103,Tehama,tehama,6103,Northern Sacramento Valley,7,453,61748,7.34,6.66,8.01,0.34,4.7,,1.38,14APR13:11:23:30,,40.0271,-122.1233
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6105,Trinity,trinity,6105,North Coast,5,23,13745,1.67,0.99,2.36,0.35,20.85,,0.31,14APR13:11:23:30,,40.6329,-123.0623
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6107,Tulare,tulare,6107,San Joaquin Valley,10,2442,414574,5.89,5.66,6.12,0.12,2.02,,1.11,14APR13:11:23:30,,36.2077,-119.3473
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6109,Tuolumne,tuolumne,6109,Central/Southeast Sierra,3,142,59915,2.37,1.98,2.76,0.2,8.39,,0.45,14APR13:11:23:30,,37.9627,-120.2413
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6111,Ventura,ventura,6111,Southern California,14,2223,803276,2.77,2.65,2.88,0.06,2.12,,0.52,14APR13:11:23:30,,34.2805,-119.2945
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6113,Yolo,yolo,6113,Sacramento Area,8,821,186597,4.4,4.1,4.7,0.15,3.49,,0.83,14APR13:11:23:30,,38.733,-121.8073
752,Number of Violent Crimes per 1000 Population,2006,9,Total,CO,6115,Yuba,yuba,6115,Sacramento Area,8,334,67758,4.93,4.4,5.46,0.27,5.47,,0.93,14APR13:11:23:30,,39.1404,-121.6169
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6001,Alameda,alameda,6001,Bay Area,1,12537,1447205,8.66,8.51,8.81,0.08,0.89,,1.66,14APR13:11:23:30,,37.765205,-122.241638
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6003,Alpine,alpine,6003,Central/Southeast Sierra,3,25,8889,2.81,1.71,3.91,0.56,20,,0.54,14APR13:11:23:30,,32.8350500 -116.7664100,
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6005,Amador,amador,6005,Central/Southeast Sierra,3,144,31484,4.57,3.83,5.32,0.38,8.33,,0.88,14APR13:11:23:30,,38.48194,120.84472
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6007,Butte,butte,6007,Butte,2,977,215992,4.52,4.24,4.81,0.14,3.2,,0.87,14APR13:11:23:30,,39.746159-121.843834,
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6009,Calaveras,calaveras,6009,Central/Southeast Sierra,3,68,60447,1.12,0.86,1.39,0.14,12.13,,0.22,14APR13:11:23:30,,?38.12750,-120.85833
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6011,Colusa,colusa,6011,Northern Sacramento Valley,7,66,21479,3.07,2.33,3.81,0.38,12.31,,0.59,14APR13:11:23:30,,39.21444,-122.00944
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6013,Contra Costa,contra costa,6013,Bay Area,1,4954,1026886,4.82,4.69,4.96,0.07,1.42,,0.92,14APR13:11:23:30,,37.92611,-122.05389
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6015,Del Norte,del norte,6015,North Coast,5,86,28877,2.98,2.35,3.61,0.32,10.78,,0.57,14APR13:11:23:30,,41.84528,-123.96944
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6017,El Dorado,el dorado,6017,Sacramento Area,8,471,179877,2.62,2.38,2.85,0.12,4.61,,0.5,14APR13:11:23:30,,38.686295,-121.081268
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6019,Fresno,fresno,6019,San Joaquin Valley,10,4450,898391,4.95,4.81,5.1,0.07,1.5,,0.95,14APR13:11:23:30,,36.747727,-119.772366
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6021,Glenn,glenn,6021,Northern Sacramento Valley,7,70,28081,2.49,1.91,3.08,0.3,11.95,,0.48,14APR13:11:23:30,,39.52194,-122.01389
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6023,Humboldt,humboldt,6023,North Coast,5,482,127629,3.78,3.44,4.11,0.17,4.55,,0.72,14APR13:11:23:30,,40.8,-123.8
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6025,Imperial,imperial,6025,Southern California,14,545,161766,3.37,3.09,3.65,0.14,4.28,,0.64,14APR13:11:23:30,,32.95254,-115.01136
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6027,Inyo,inyo,6027,Central/Southeast Sierra,3,135,17850,7.56,6.29,8.84,0.65,8.61,,1.45,14APR13:11:23:30,,36.3092,-117.5496
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6029,Kern,kern,6029,San Joaquin Valley,10,4590,792216,5.79,5.63,5.96,0.09,1.48,,1.11,14APR13:11:23:30,,35.4937,-118.8597
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6031,Kings,kings,6031,San Joaquin Valley,10,441,147510,2.99,2.71,3.27,0.14,4.76,,0.57,14APR13:11:23:30,,36.0988,-119.8815
752,Number of Violent Crimes per 1000 Population,2006,9,Total,PL,24918,Forest Ranch CDP,butte,6007,Butte,2,,,,,,,,,,14APR13:11:23:30,,39.746159-121.843834,
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6033,Lake,lake,6033,North Coast,5,228,66540,3.43,2.98,3.87,0.23,6.62,,0.66,14APR13:11:23:30,,39.084,-122.8084
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6035,Lassen,lassen,6035,Northeast Sierra,6,104,34585,3.01,2.43,3.59,0.29,9.81,,0.58,14APR13:11:23:30,,40.5394,-120.712
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6037,Los Angeles,los angeles,6037,Southern California,14,63385,9929814,6.38,6.33,6.43,0.03,0.4,,1.22,14APR13:11:23:30,,34.0522,-118.2437
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6039,Madera,madera,6039,San Joaquin Valley,10,746,148765,5.01,4.65,5.37,0.18,3.66,,0.96,14APR13:11:23:30,,36.9613,-120.0607
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6041,Marin,marin,6041,Bay Area,1,660,246978,2.67,2.47,2.88,0.1,3.89,,0.51,14APR13:11:23:30,,38.0834,-122.7633
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6043,Mariposa,mariposa,6043,Central/Southeast Sierra,3,31,18445,1.68,1.09,2.27,0.3,17.96,,0.32,14APR13:11:23:30,,37.4849,-119.9663
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6045,Mendocino,mendocino,6045,North Coast,5,544,87672,6.2,5.68,6.73,0.27,4.29,,1.19,14APR13:11:23:30,,39.3077,-123.7995
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6047,Merced,merced,6047,San Joaquin Valley,10,1463,249018,5.88,5.57,6.18,0.15,2.61,,1.12,14APR13:11:23:30,,37.3022,-120.483
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6049,Modoc,modoc,6049,Northeast Sierra,6,24,9549,2.51,1.51,3.52,0.51,20.41,,0.48,14APR13:11:23:30,,41.4565,-120.6294
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6051,Mono,mono,6051,Central/Southeast Sierra,3,52,12640,4.11,3,5.23,0.57,13.87,,0.79,14APR13:11:23:30,,37.9219,-118.9529
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6053,Monterey,monterey,6053,Monterey Bay,4,2191,408059,5.37,5.14,5.59,0.11,2.14,,1.03,14APR13:11:23:30,,36.6002,-121.8947
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6055,Napa,napa,6055,Bay Area,1,460,133808,3.44,3.12,3.75,0.16,4.66,,0.66,14APR13:11:23:30,,38.2975,-122.2869
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6057,Nevada,nevada,6057,Northeast Sierra,6,267,98922,2.7,2.38,3.02,0.17,6.12,,0.52,14APR13:11:23:30,,39.1347,121.171
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6059,Orange,orange,6059,Southern California,14,8213,3000062,2.74,2.68,2.8,0.03,1.1,,0.52,14APR13:11:23:30,,33.7879,-117.8531
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6061,Placer,placer,6061,Sacramento Area,8,851,336075,2.53,2.36,2.7,0.09,3.43,,0.48,14APR13:11:23:30,,39.0916,-120.8039
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6063,Plumas,plumas,6063,Northeast Sierra,6,143,21169,6.76,5.65,7.86,0.56,8.36,,1.29,14APR13:11:23:30,,39.9927,-120.8039
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6065,Riverside,riverside,6065,Southern California,14,9260,2088102,4.43,4.34,4.52,0.05,1.04,,0.85,14APR13:11:23:30,,33.9806,-117.3755
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6067,Sacramento,sacramento,6067,Sacramento Area,8,9141,1386015,6.6,6.46,6.73,0.07,1.05,,1.26,14APR13:11:23:30,,38.5816,-121.4944
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6069,San Benito,san benito,6069,Monterey Bay,4,251,55700,4.51,3.95,5.06,0.28,6.31,,0.86,14APR13:11:23:30,,36.5761,-120.9876
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6071,San Bernardino,san bernardino,6071,Southern California,14,10239,2027304,5.05,4.95,5.15,0.05,0.99,,0.97,14APR13:11:23:30,,34.1083,-117.2898
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6073,San Diego,san diego,6073,San Diego,9,13672,2935792,4.66,4.58,4.74,0.04,0.86,,0.89,14APR13:11:23:30,,32.7157,-117.1611
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6075,San Francisco,san francisco,6075,Bay Area,1,6466,733799,8.81,8.6,9.03,0.11,1.24,,1.69,14APR13:11:23:30,,37.7749,-122.4194
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6077,San Joaquin,san joaquin,6077,San Joaquin Valley,10,6054,684406,8.85,8.62,9.07,0.11,1.29,,1.69,14APR13:11:23:30,,36.6066,-120.189
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6079,San Luis Obispo,san luis obispo,6079,San Luis Obispo,11,894,256373,3.49,3.26,3.72,0.12,3.34,,0.67,14APR13:11:23:30,,35.2828,-120.6596
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6081,San Mateo,san mateo,6081,Bay Area,1,2129,699640,3.04,2.91,3.17,0.07,2.17,,0.58,14APR13:11:23:30,,37.563,-122.3255
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6083,Santa Barbara,santa barbara,6083,Santa Barbara,12,1644,397342,4.14,3.94,4.34,0.1,2.47,,0.79,14APR13:11:23:30,,34.4208,-119.6982
752,Number of Violent Crimes per 1000 Population,2006,9,Total,PL,21061,East Richmond Heights CDP,contra costa,6013,Bay Area,1,,,,,,,,,,14APR13:11:23:30,,37.92611,-122.05389
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6085,Santa Clara,santa clara,6085,Bay Area,1,5580,1724407,3.24,3.15,3.32,0.04,1.34,,0.62,14APR13:11:23:30,,37.3541,-121.9552
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6087,Santa Cruz,santa cruz,6087,Monterey Bay,4,1239,246931,5.02,4.74,5.3,0.14,2.84,,0.96,14APR13:11:23:30,,36.9741,-122.0308
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6089,Shasta,shasta,6089,Shasta,13,851,180982,4.7,4.39,5.02,0.16,3.43,,0.9,14APR13:11:23:30,,40.5981,-122.4908
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6091,Sierra,sierra,6091,Northeast Sierra,6,15,3412,4.4,2.17,6.62,1.14,25.82,,0.84,14APR13:11:23:30,,39.5533,120.2513
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6093,Siskiyou,siskiyou,6093,Northeast Sierra,6,157,44864,3.5,2.95,4.05,0.28,7.98,,0.67,14APR13:11:23:30,,41.7743,-122.577
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6095,Solano,solano,6095,Bay Area,1,2482,410623,6.04,5.81,6.28,0.12,2.01,,1.16,14APR13:11:23:30,,38.3105,-121.9018
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6097,Sonoma,sonoma,6097,Bay Area,1,1974,464218,4.25,4.06,4.44,0.1,2.25,,0.81,14APR13:11:23:30,,38.2919,-122.458
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6099,Stanislaus,stanislaus,6099,San Joaquin Valley,10,3207,517721,6.19,5.98,6.41,0.11,1.77,,1.19,14APR13:11:23:30,,37.5091,-120.9876
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6101,Sutter,sutter,6101,Sacramento Area,8,369,92588,3.99,3.58,4.39,0.21,5.21,,0.76,14APR13:11:23:30,,39.1599,-121.7527
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6103,Tehama,tehama,6103,Northern Sacramento Valley,7,379,62039,6.11,5.49,6.72,0.31,5.14,,1.17,14APR13:11:23:30,,40.0271,-122.1233
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6105,Trinity,trinity,6105,North Coast,5,21,14397,1.46,0.83,2.08,0.32,21.82,,0.28,14APR13:11:23:30,,40.6329,-123.0623
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6107,Tulare,tulare,6107,San Joaquin Valley,10,2196,424464,5.17,4.96,5.39,0.11,2.13,,0.99,14APR13:11:23:30,,36.2077,-119.3473
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6109,Tuolumne,tuolumne,6109,Central/Southeast Sierra,3,123,56735,2.17,1.78,2.55,0.2,9.02,,0.42,14APR13:11:23:30,,37.9627,-120.2413
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6111,Ventura,ventura,6111,Southern California,14,2120,799872,2.65,2.54,2.76,0.06,2.17,,0.51,14APR13:11:23:30,,34.2805,-119.2945
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6113,Yolo,yolo,6113,Sacramento Area,8,751,189396,3.97,3.68,4.25,0.14,3.65,,0.76,14APR13:11:23:30,,38.733,-121.8073
752,Number of Violent Crimes per 1000 Population,2007,9,Total,CO,6115,Yuba,yuba,6115,Sacramento Area,8,396,71418,5.54,5,6.09,0.28,5.03,,1.06,14APR13:11:23:30,,39.1404,-121.6169
752,Number of Violent Crimes per 1000 Population,2008,9,Total,CO,6001,Alameda,alameda,6001,Bay Area,1,12778,1458725,8.76,8.61,8.91,0.08,0.88,,1.75,14APR13:11:23:30,,37.765205,-122.241638
752,Number of Violent Crimes per 1000 Population,2008,9,Total,CO,6003,Alpine,alpine,6003,Central/Southeast Sierra,3,14,1132,12.37,5.89,18.85,3.31,26.73,,2.47,14APR13:11:23:30,,32.8350500 -116.7664100,
752,Number of Violent Crimes per 1000 Population,2008,9,Total,CO,6005,Amador,amador,6005,Central/Southeast Sierra,3,127,38948,3.26,2.69,3.83,0.29,8.87,,0.65,14APR13:11:23:30,,38.48194,120.84472
752,Number of Violent Crimes per 1000 Population,2008,9,Total,CO,6007,Butte,butte,6007,Butte,2,836,219628,3.81,3.55,4.06,0.13,3.46,,0.76,14APR13:11:23:30,,39.746159-121.843834,
752,Number of Violent Crimes per 1000 Population,2008,9,Total,CO,6009,Calaveras,calaveras,6009,Central/Southeast Sierra,3,93,47443,1.96,1.56,2.36,0.2,10.37,,0.39,14APR13:11:23:30,,?38.12750,-120.85833
752,Number of Violent Crimes per 1000 Population,2008,9,Total,CO,6011,Colusa,colusa,6011,Northern Sacramento Valley,7,42,21530,1.95,1.36,2.54,0.3,15.43,,0.39,14APR13:11:23:30,,39.21444,-122.00944
